SCHOOL NAME,DEFINITION,PRIMARY ADDRESS,LAT,LON
Juarez H S,Public Schools,2150 S Laflin St,41.8538178,-87.6636996
DuSable HS,Public Schools,4934 S Wabash Av,41.804644,-87.62550030000001
Kenwood Acad HS,Public Schools,5015 S Blackstone Av,41.8035048,-87.5900132
Big Picture at Chavez,Public Schools,4946 S Paulina St,41.8035258,-87.66762969999999
Richards HS,Public Schools,5009 S Laflin St,41.8027526,-87.6620432
Curie HS,Public Schools,4959 S Archer Av,41.8022402,-87.721707
Dyett Middle,Public Schools,555 E 51st St,41.8013958,-87.61238639999999
Hope College Prep,Public Schools,5515 S Lowe Av,41.7935487,-87.6410011
Gage Park HS,Public Schools,5630 S Rockwell St,41.7910374,-87.6894698
Kennedy HS,Public Schools,6325 W 56th St,41.7902256,-87.78031639999999
Lindblom Tech HS,Public Schools,6130 S Wolcott Av,41.7820653,-87.67213699999999
Englewood HS,Public Schools,6201 S Stewart Av,41.7819938,-87.63429330000001
Hubbard HS,Public Schools,6200 S Hamlin Av,41.7801987,-87.71864699999999
Harper HS,Public Schools,6520 S Wood St,41.7749477,-87.66974859999999
Robeson,Public Schools,6835 S Normal Blvd,41.7702519,-87.6368723
Hirsch Metro HS,Public Schools,7740 S Ingleside Av,41.75397479999999,-87.601897
Bogan Tech HS,Public Schools,3939 W 79th St,41.748772,-87.7208789
Calumet HS,Public Schools,8131 S May St,41.7458355,-87.6520244
Chicago Vocational HS,Public Schools,2100 E 87th St,41.7376946,-87.57431480000001
Bowen,Public Schools,2710 E 89th St,41.73427179999999,-87.5575844
Carver HS,Public Schools,13100 S Carver Dr,41.6565611,-87.5894723
Schurz HS,Public Schools,3601 N Milwaukee Av,41.9474657,-87.7352863
Whitney Young HS,Public Schools,211 S Laflin St,41.8781343,-87.66381659999999
Tilden HS,Public Schools,4747 S Union Av,41.8075106,-87.6424668
Simeon,Public Schools,8235 S Vincennes Av,41.7441457,-87.63594119999999
Harlan HS,Public Schools,9652 S Michigan Av,41.71761,-87.6215689
Corliss HS,Public Schools,821 E 103rd St,41.7066424,-87.6027457
Julian HS,Public Schools,10330 S Elizabeth St,41.7061464,-87.6542595
Brooks College Prep,Public Schools,250 E 111th St,41.6941786,-87.616941
Morgan Park HS,Public Schools,1744 W Pryor Av,41.6919932,-87.6660502
Chicago Agricultural HS,Public Schools,3807 W 111th St,41.6913273,-87.71612239999999
Fenger HS,Public Schools,11220 S Wallace St,41.6897069,-87.63784
South Shore HS,Public Schools,7529 S Constance Av,41.757653,-87.578952
Washington HS,Public Schools,3535 E 114th St,41.6875577,-87.5388128
IDOC/HEALY BR - N JEFFERSON ALT SCH,Public Schools,100 N WESTERN AVE,41.8837176,-87.6877562
IDOC/HEALY SOUTH,Public Schools,8007 S COTTAGE GROVE AVE,41.74879,-87.60474099999999
NANCY B JEFFERSON ALT SCHOOL,Public Schools,1100 S HAMILTON AVE,41.8676707,-87.681079
NOBLE - ESCALANTE COLLEGE PREP,Public Schools,1460 W SUPERIOR ST,41.89544780000001,-87.66461489999999
NOBLE - ROWE-CLARK MATH & SCI ACAD,Public Schools,3645 W CHICAGO AVE,41.8952324,-87.71814669999999
PEACE AND EDUCATION COALITION HS,Public Schools,4541 S WOOD ST,41.8107244,-87.6695359
SECOND CHANCE ALTERNATIVE HS,Public Schools,5114 S ELIZABETH ST,41.8006295,-87.65649289999999
CONSUELLA B. YORK ALTERNATIVE HS,Public Schools,2700 S CALIFORNIA AVE,41.8426106,-87.6953025
LINC ALT HIGH SCHOOL,Public Schools,5035 W NORTH AVE,41.9092894,-87.75258079999999
Perspectives Charter,Public Schools,1915 S Federal St,41.8562125,-87.62908829999999
CHGO. INT. CHARTER - RALPH ELLISON,Public Schools,1547 W 95TH ST,41.7211522,-87.66260280000002
